institute,model,component,property,value
NASA-GISS,GISS-E2-H-CC,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
NASA-GISS,GISS-E2-R,Land Ice > Glaciers,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-R,Land Ice > Sheet,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-R,Land Ice > Shelves,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-R,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
NASA-GISS,GISS-E2-R-CC,Land Ice > Glaciers,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-R-CC,Land Ice > Sheet,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-R-CC,Land Ice > Shelves,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2-R-CC,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
NCC,NORESM1-ME,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Num Of Reactions And Species > Number Of Advected Species,1
NASA-GISS,GISS-E2CS-H,Land Ice > Glaciers,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2CS-H,Land Ice > Sheet,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2CS-H,Land Ice > Shelves,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2CS-H,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
IPSL,IPSL-CM5A-MR,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1
NASA-GISS,GISS-E2CS-R,Land Ice > Glaciers,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2CS-R,Land Ice > Sheet,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2CS-R,Land Ice > Shelves,Scientific Properties > Snow Treatment > Number Of Snow Layers,1
NASA-GISS,GISS-E2CS-R,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
MOHC,HADCM3,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
MOHC,HADGEM2-A,Land Surface > Albedo,Scientific Properties > Snow Free Albedo > Number Of Wavelengh Bands,1
MOHC,HADGEM2-A,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
MOHC,HADGEM2-A,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
MOHC,HADGEM2-CC,Land Surface > Albedo,Scientific Properties > Snow Free Albedo > Number Of Wavelengh Bands,1
MOHC,HADGEM2-CC,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
MOHC,HADGEM2-CC,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
MOHC,HADGEM2-ES,Land Surface > Albedo,Scientific Properties > Snow Free Albedo > Number Of Wavelengh Bands,1
MOHC,HADGEM2-ES,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
MOHC,HADGEM2-ES,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
INPE,HADGEM2-ES,Land Surface > Albedo,Scientific Properties > Snow Free Albedo > Number Of Wavelengh Bands,1
INPE,HADGEM2-ES,Land Surface > River Routing,Scientific Properties > Number Of Reservoirs,1
INPE,HADGEM2-ES,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1
NCEP,CFSV2-2011,Ocean > Boundary Forcing > Tracers,Scientific Properties > Sunlight Penetration > Scheme Type,1 extinction depth
BCC,BCC-CSM1.1,Atmosphere > Radiation,Scientific Properties > Time Step,1 hour
NCC,NORESM1-M,Atmosphere > Radiation,Scientific Properties > Time Step,1 hour
NCEP,CFSV2-2011,Atmosphere > Radiation,Scientific Properties > Time Step,1 hour
NCC,NORESM1-ME,Atmosphere > Radiation,Scientific Properties > Time Step,1 hour
EC-EARTH,EC-EARTH,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1 hour
INM,INM-CM4,Land Surface,Scientific Properties > Time Stepping Framework > Time Step,1 hour
NASA-GISS,GISS-E2-H,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1 hour
NASA-GISS,GISS-E2-H-CC,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1 hour
NASA-GISS,GISS-E2CS-H,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1 hour
MOHC,HADCM3,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1 hour
MRI,MRI-AGCM3.2H,Atmosphere > Radiation,Scientific Properties > Time Step,1 hour for SW and 3 hours for LW
MRI,MRI-AGCM3.2S,Atmosphere > Radiation,Scientific Properties > Time Step,1 hour for SW and 3 hours for LW
MRI,MRI-CGCM3,Atmosphere > Radiation,Scientific Properties > Time Step,1 hour for SW and 3 hours for LW
MRI,MRI-ESM1,Atmosphere > Radiation,Scientific Properties > Time Step,1 hour for SW and 3 hours for LW
BCC,BCC-CSM1.1,Land Surface,Scientific Properties > Conservation Of Properties > Lag Of Water Discharge,1 hr
EC-EARTH,EC-EARTH,Atmosphere > Dynamical Core,Scientific Properties > Time Stepping Framework > Time Step,1 hr using semi-langrangian formulation
NCEP,CFSV2-2011,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1 layer
NCEP,CFSV2-2011,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1 layer
CNRM-CERFACS,CNRM-CM5,Land Surface > Snow,Scientific Properties > Number Of Snow Layers,1 layer
MRI,MRI-CGCM3,Sea Ice,Scientific Properties > Basic Approximations,1 layer multi category
MRI,MRI-ESM1,Sea Ice,Scientific Properties > Basic Approximations,1 layer multi category
BCC,BCC-CSM1.1,Ocean,Standard Properties > Description,"1 longitude x 1/3 latitude between 10S-10N;
1 longitude x 1 latitude  from 30S and 30N to pole, respectively"
NOAA-GFDL,GFDL-CM3,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1 per tile
NOAA-GFDL,GFDL-ESM2G,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1 per tile
NOAA-GFDL,GFDL-ESM2M,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1 per tile
NOAA-GFDL,GFDL-HIRAM-C180,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1 per tile
NOAA-GFDL,GFDL-HIRAM-C360,Land Surface > Energy Balance,Scientific Properties > Number Of Surface Temperatures,1 per tile
NASA-GISS,GISS-E2-R,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Mixing Coefficient,1.0
NASA-GISS,GISS-E2-R,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,1.0
NASA-GISS,GISS-E2-R-CC,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,1.0
NASA-GISS,GISS-E2-R-CC,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Mixing Coefficient,1.0
NASA-GISS,GISS-E2CS-R,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,1.0
NASA-GISS,GISS-E2CS-R,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Mixing Coefficient,1.0
MPI-M,MPI-ESM-MR,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,1.05E-5
MPI-M,MPI-ESM-P,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,1.05E-5
MPI-M,MPI-ESM-LR,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,1.05E-5
MOHC,HADCM3,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,1.0e-5
CNRM-CERFACS,CNRM-CM5,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,1.2e-4 m2/s
CNRM-CERFACS,CNRM-CM5,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,1.2e-5 m2/s
CNRM-CERFACS,CNRM-CM5,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,1.2e-5 m2/s
CMCC,CMCC-CESM,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1.5 hours
CMCC,CMCC-CM,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1.5 hours
CMCC,CMCC-CMS,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1.5 hours
IPSL,IPSL-CM5A-LR,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,1.e-4 m2/s
IPSL,IPSL-CM5A-LR,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,1.e-4 m2/s
IPSL,IPSL-CM5A-MR,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Momentum > Background Coefficient,1.e-4 m2/s
IPSL,IPSL-CM5A-MR,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,1.e-4 m2/s
IPSL,IPSL-CM5A-LR,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,1.e-5 m2/s
IPSL,IPSL-CM5A-MR,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,1.e-5 m2/s
IPSL,IPSL-CM5A-MR,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Tracers > Background Coefficient,1.e-5 m2/s
IPSL,IPSL-CM5A-LR,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,1.e-5 m2/s
BCC,BCC-CSM1.1,Land Surface > Soil > Heat Treatment,Scientific Properties > Soil Heat Treatment Attributes > Number Of Ground Heat Layers,10
BCC,BCC-CSM1.1,Land Surface > Soil > Hydrology,Scientific Properties > Soil Hydrology Attributes > Number Of Ground Water Layers,10
BCC,BCC-CSM1.1,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,10
INM,INM-CM4,Atmosphere > Radiation,Scientific Properties > Longwave > Number Of Spectral Intervals,10
CSIRO-QCCCE,CSIRO-MK3.6.0,Atmosphere > Radiation,Scientific Properties > Longwave > Number Of Spectral Intervals,10
NOAA-GFDL,GFDL-CM2P1,Atmosphere > Radiation,Scientific Properties > Longwave > Number Of Spectral Intervals,10
NOAA-GFDL,GFDL-CM3,Atmosphere > Radiation,Scientific Properties > Longwave > Number Of Spectral Intervals,10
NOAA-GFDL,GFDL-ESM2G,Atmosphere > Radiation,Scientific Properties > Longwave > Number Of Spectral Intervals,10
NOAA-GFDL,GFDL-ESM2M,Atmosphere > Radiation,Scientific Properties > Longwave > Number Of Spectral Intervals,10
NOAA-GFDL,GFDL-HIRAM-C180,Atmosphere > Radiation,Scientific Properties > Longwave > Number Of Spectral Intervals,10
NOAA-GFDL,GFDL-HIRAM-C360,Atmosphere > Radiation,Scientific Properties > Longwave > Number Of Spectral Intervals,10
CNRM-CERFACS,CNRM-CM5,Sea Ice,Scientific Properties > Sea Ice Representation > Multi- Levels Scheme,10 levels
BCC,BCC-CSM1.1,Land Surface > Soil,Scientific Properties > Soil Map > Structure,10 vertical levels
NOAA-GFDL,GFDL-CM3,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,10**-5 m**2/s
NOAA-GFDL,GFDL-ESM2M,Ocean > Vertical Physics > Interior Mixing,Scientific Properties > Tracers > Background Coefficient,10**-5 m**2/s
MOHC,HADGEM2-A,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,100
MOHC,HADGEM2-CC,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,100
MOHC,HADGEM2-ES,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,100
INPE,HADGEM2-ES,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,100
NOAA-GFDL,GFDL-CM2P1,Ocean > Upper & Lower Boundaries,Scientific Properties > Bottom Boundary Layer > Lateral Mixing Coefficient,100 m**2/s
NOAA-GFDL,GFDL-CM3,Ocean > Upper & Lower Boundaries,Scientific Properties > Bottom Boundary Layer > Lateral Mixing Coefficient,100 m**2/s
NOAA-GFDL,GFDL-ESM2M,Ocean > Upper & Lower Boundaries,Scientific Properties > Bottom Boundary Layer > Lateral Mixing Coefficient,100 m**2/s
NOAA-GFDL,GFDL-ESM2G,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Particules > Sinking Speed Constant,100 m/day
NOAA-GFDL,GFDL-ESM2M,Ocean Bio-Geo Chemistry > Tracers,Scientific Properties > Particules > Sinking Speed Constant,100 m/day
NCC,NORESM1-M,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,100.0 m2 s-1
NCC,NORESM1-ME,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,100.0 m2 s-1
EC-EARTH,EC-EARTH,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Coefficient Value,1000
EC-EARTH,EC-EARTH,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy-induced Velocity > Coefficient Value,1000
CNRM-CERFACS,CNRM-CM5,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Coefficient Value,1000 m2/s
MRI,MRI-ESM1,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Coefficient Value,1000 m^2/s^2
MRI,MRI-CGCM3,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Coefficient Value,1000 m^2/s^2
CNRM-CERFACS,CNRM-CM5,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Coefficient Value,10000
EC-EARTH,EC-EARTH,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Coefficient Value,10000
IPSL,IPSL-CM5A-LR,Ocean > Upper & Lower Boundaries,Scientific Properties > Bottom Boundary Layer > Lateral Mixing Coefficient,10000 m2/s if grad_h.grad_rho < 0 and 0 otherwise
IPSL,IPSL-CM5A-MR,Ocean > Upper & Lower Boundaries,Scientific Properties > Bottom Boundary Layer > Lateral Mixing Coefficient,10000 m2/s if grad_h.grad_rho < 0 and 0 otherwise
CNRM-CERFACS,CNRM-CM5,Ocean > Upper & Lower Boundaries,Scientific Properties > Bottom Boundary Layer > Lateral Mixing Coefficient,10000 m2/s if grad_h.grad_rho < 0 and 0 otherwise
NASA-GISS,GISS-E2-R,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,100000
NASA-GISS,GISS-E2-R-CC,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,100000
NASA-GISS,GISS-E2CS-R,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,100000
EC-EARTH,EC-EARTH,Ocean > Upper & Lower Boundaries,Scientific Properties > Bottom Boundary Layer > Lateral Mixing Coefficient,10000m2/s
CSIRO-QCCCE,CSIRO-MK3.6.0,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,1000m2s-1
CSIRO-QCCCE,CSIRO-MK3.6.0,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Coefficient Value,1000m2s-1
MOHC,HADCM3,Atmosphere > Radiation,Scientific Properties > Time Step,10800
CNRM-CERFACS,CNRM-CM5,Atmosphere > Radiation,Scientific Properties > Time Step,10800 s
CSIRO-QCCCE,CSIRO-MK3.6.0,Aerosols,Scientific Properties > Number Of Tracers,11
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,11
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,11
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,11
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,11
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,11
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,11
INM,INM-CM4,Land Surface > Soil,Scientific Properties > Soil Map > Texture,"11 soil types are prescribed according to percent of sand, clay and organics"
NASA-GISS,GISS-E2-R,Ocean,Scientific Properties > Time Stepping Framework > Time Step,112.5sec
NASA-GISS,GISS-E2-R-CC,Ocean,Scientific Properties > Time Stepping Framework > Time Step,112.5sec
NASA-GISS,GISS-E2CS-R,Ocean,Scientific Properties > Time Stepping Framework > Time Step,112.5sec
CSIRO-QCCCE,CSIRO-MK3.6.0,Atmosphere > Radiation,Scientific Properties > Shortwave > Number Of Spectral Intervals,12
MPI-M,MPI-ESM-LR,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,"12 (inline), 20 (offline)"
MPI-M,MPI-ESM-MR,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,"12 (inline), 20 (offline)"
MPI-M,MPI-ESM-P,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,"12 (inline), 20 (offline)"
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Ocean Bio Time Step Framework > Passive Tracers > Time Step,12 hours
NASA-GISS,GISS-E2-H-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Ocean Bio Time Step Framework > Biology > Time Step,12 hours
MRI,MRI-ESM1,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,120
MRI,MRI-CGCM3,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Columns,120
MRI,MRI-AGCM3.2H,Atmosphere > Dynamical Core,Scientific Properties > Time Stepping Framework > Time Step,1200 sec
MRI,MRI-CGCM3,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1200sec
MRI,MRI-ESM1,Ocean,Scientific Properties > Time Stepping Framework > Time Step,1200sec
MRI,MRI-CGCM3,Aerosols,Scientific Properties > Aerosol Time Step Framework > Time Step,1200sec  (???)
BCC,BCC-CSM1.1,Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Scientific Properties > C O S P Attributes > Number Of Gridpoints,128x64
MOHC,HADGEM2-ES,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,13
INPE,HADGEM2-ES,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Num Of Reactions And Species > Number Of Termolecular Reactions,13
CSIRO-BOM,ACCESS1.3,Land Surface > Vegetation,Standard Properties > Description,"13 surface types (10 vegetated) with up to 5 tiles used in each grid-cell. 
Vegetation types: evergreen needleleaf, evergreen broadleaf, deciduous needleleaf, deciduous broadleaf, shrub, C3 grass, C4 grass, tundra, crop"
